date,temperature
2023-09-01,21.8
2023-09-02,28.8
2023-09-03,30.0
2023-09-04,30.0
2023-09-05,31.5
2023-09-06,31.7
2023-09-07,29.7
2023-09-08,33.7
2023-09-09,33.8
2023-09-10,32.4
2023-09-11,25.4
2023-09-12,19.6
2023-09-13,19.7
2023-09-14,22.7
2023-09-15,26.6
2023-09-16,25.7
2023-09-17,25.3
2023-09-18,23.5
2023-09-19,19.2
2023-09-20,23.7
2023-09-21,15.0
2023-09-22,14.3
2023-09-23,18.2
2023-09-24,20.2
2023-09-25,22.6
2023-09-26,24.8
2023-09-27,25.0
2023-09-28,21.8
2023-09-29,21.0
2023-09-30,21.1
2023-10-01,25.2
2023-10-02,26.2
2023-10-03,19.7
2023-10-04,16.6
2023-10-05,19.1
2023-10-06,20.2
2023-10-07,22.9
2023-10-08,25.0
2023-10-09,25.2
2023-10-10,26.7
2023-10-11,24.7
2023-10-12,22.6
2023-10-13,24.4
2023-10-14,14.2
2023-10-15,13.5
2023-10-16,12.7
2023-10-17,15.7
2023-10-18,16.5
2023-10-19,21.9
2023-10-20,16.0
2023-10-21,15.1
2023-10-22,15.7
2023-10-23,10.9
2023-10-24,15.9
2023-10-25,13.5
2023-10-26,14.5
2023-10-27,14.8
2023-10-28,13.8
2023-10-29,15.4
2023-10-30,13.2
2023-10-31,13.7
2023-11-01,12.4
2023-11-02,13.5
2023-11-03,9.8
2023-11-04,13.9
2023-11-05,13.4
2023-11-06,12.6
2023-11-07,12.3
2023-11-08,11.7
2023-11-09,10.4
2023-11-10,11.0
2023-11-11,10.8
2023-11-12,9.3
2023-11-13,15.9
2023-11-14,12.6
2023-11-15,12.6
2023-11-16,9.6
2023-11-17,11.6
2023-11-18,10.9
2023-11-19,14.3
2023-11-20,12.1
2023-11-21,11.5
2023-11-22,9.1
2023-11-23,11.1
2023-11-24,10.5
2023-11-25,8.4
2023-11-26,5.8
2023-11-27,5.8
2023-11-28,6.0
2023-11-29,7.9
2023-11-30,6.4
2023-12-01,2.9
2023-12-02,2.4
2023-12-03,2.2
2023-12-04,7.6
2023-12-05,7.2
2023-12-06,8.0
2023-12-07,5.0
2023-12-08,10.0
2023-12-09,10.4
2023-12-10,11.3
2023-12-11,12.2
2023-12-12,13.3
2023-12-13,9.8
2023-12-14,8.1
2023-12-15,10.5
2023-12-16,10.4
2023-12-17,2.2
2023-12-18,0.7
2023-12-19,6.5
2023-12-20,8.9
2023-12-21,11.4
2023-12-22,11.1
2023-12-23,9.9
2023-12-24,10.9
2023-12-25,12.2
2023-12-26,10.4
2023-12-27,9.7
2023-12-28,10.3
2023-12-29,10.5
2023-12-30,10.0
2023-12-31,10.7
2024-01-01,9.3
2024-01-02,10.8
2024-01-03,12.0
2024-01-04,9.4
2024-01-05,9.2
2024-01-06,7.5
2024-01-07,3.2
2024-01-08,-0.7
2024-01-09,-2.2
2024-01-10,0.0
2024-01-11,1.0
2024-01-12,2.8
2024-01-13,-1.8
2024-01-14,-2.7
2024-01-15,4.7
2024-01-16,2.4
2024-01-17,4.9
2024-01-18,2.7
2024-01-19,3.6
2024-01-20,1.9
2024-01-21,4.8
2024-01-22,12.8
2024-01-23,9.0
2024-01-24,13.8
2024-01-25,13.0
2024-01-26,12.0
2024-01-27,7.5
2024-01-28,7.2
2024-01-29,12.2
2024-01-30,11.4
2024-01-31,8.1
2024-02-01,11.1
2024-02-02,7.7
2024-02-03,9.9
2024-02-04,9.7
2024-02-05,8.2
2024-02-06,11.1
